index,filename,reduced_formula,full_formula,num_sites,status,r_val,quality_tag,temperature,pressure,sgr,is_polymorph,polymorph_count,sg_number,refined_sg_number,refined_sg_symbol,is_organic,prototype
33887,172020.cif,NaLi2(RuO2)6,Na+1 Li+2 Ru3.50+6 O2-12,21,success,0.058,,295.0,0.101325,P1-,True,4.0,2.0,2.0,P-1,False,Quaternary
33888,172021.cif,NaLi2(RuO2)6,Na+1 Li+2 Ru3.50+6 O2-12,21,success,0.0563,,15.0,0.101325,P1-,True,4.0,2.0,2.0,P-1,False,Quaternary
33890,172023.cif,NaLi2(RuO2)6,Na+4 Li+8 Ru3.50+24 O2-48,84,success,0.0439,,15.0,0.101325,I1-,True,4.0,,2.0,P-1,False,Quaternary
143434,92305.cif,NaLi2N,Na+2 Li+4 N3-2,8,success,,,293.0,0.101325,I4/MMM,True,4.0,139.0,225.0,Fm-3m,False,Ternary
143436,92307.cif,NaLi2N,Na+2 Li+4 N3-2,8,success,,,293.0,0.101325,CMMM,True,4.0,65.0,191.0,P6/mmm,False,Ternary
143437,92308.cif,NaLi2N,Na+1 Li+2 N3-1,4,success,,,293.0,0.101325,P6/MMM,True,4.0,191.0,191.0,P6/mmm,False,Ternary
41573,20112.cif,NaLiGe4O9,Na+4 Li+4 Ge4+16 O2-36,60,success,0.071,,293.0,0.101325,PCA21,True,4.0,,29.0,Pca2_1,False,Quaternary
45605,23549.cif,NaLiGe4O9,Na+4 Li+4 Ge4+16 O2-36,64,success,0.086,,293.0,0.101325,PCCA,True,4.0,,54.0,Pcca,False,Quaternary
132796,81615.cif,NaLiGe4O9,Na+4 Li+4 Ge4+16 O2-36,68,success,0.055,,293.0,0.101325,PCCA,True,4.0,,54.0,Pcca,False,Quaternary
10269,14364.cif,NaLiSO4,Na+6 Li+6 S6+6 O2-24,42,success,0.06,Q,293.0,0.101325,P31C,True,4.0,,159.0,P31c,False,Quaternary
11147,150825.cif,NaMg3Si4HO12,Na+4 Mg2+12 Si4+16 H+4 O2-48,88,success,0.04,Q,293.0,0.101325,P121/M1,True,4.0,,11.0,P2_1/m,False,Other
11149,150827.cif,NaMg3Si4HO12,Na+4 Mg2+12 Si4+16 H+4 O2-48,88,success,0.043,,543.0,0.101325,C12/M1,True,4.0,12.0,12.0,C2/m,False,Other
55938,26461.cif,NaMnAs,Na+2 Mn2+2 As3-2,6,success,0.08,,293.0,0.101325,P4/NMMS,True,4.0,,129.0,P4/nmm,False,Ternary
55937,26460.cif,NaMnP,Na+2 Mn2+2 P3-2,6,success,0.036,,293.0,0.101325,P4/NMMS,True,4.0,,129.0,P4/nmm,False,Ternary
81487,43307.cif,NaNdS2,Na+2 Nd3+2 S2-4,8,success,,,293.0,0.101325,FM3-M,True,4.0,225.0,225.0,Fm-3m,False,Spinel
113292,644911.cif,NaNdS2,Na0+2 Nd0+2 S0+4,8,success,,,293.0,0.101325,FM3-M,True,4.0,225.0,225.0,Fm-3m,False,Ternary
113294,644913.cif,NaNdS2,Na+3 Nd3+3 S2-6,12,success,,,,,,True,4.0,,166.0,R-3m,False,Ternary
141756,90682.cif,NaP2H5O8,Na+4 P5+8 H+20 O2-32,64,success,0.026,,,,P121/C1,True,4.0,14.0,14.0,P2_1/c,False,Quaternary
142628,91543.cif,NaP2H5O8,Na+4 P5+8 H+20 O2-32,72,success,0.023,Q,293.0,0.101325,P121/C1,True,4.0,14.0,14.0,P2_1/c,False,Quaternary
17071,156354.cif,NaPrTi2O6,Na+2 Pr3+2 Ti4+4 O2-12,20,success,0.0432,Q,293.0,0.101325,PBNM,True,4.0,62.0,62.0,Pnma,False,Quaternary
29493,167783.cif,NaPrTi2O6,Na+2 Pr3+2 Ti4+4 O2-12,20,success,0.0381,,723.0,0.101325,IBMM,True,4.0,,74.0,Imma,False,Quaternary
27976,16640.cif,NaSbF6,Na+4 Sb5+4 F-24,32,success,0.095,Q,293.0,0.101325,FM3-M,True,4.0,225.0,225.0,Fm-3m,False,Ternary
52809,25538.cif,NaSbF6,Na+4 Sb5+4 F-24,32,success,,,293.0,0.101325,PA3-,True,4.0,205.0,205.0,Pa-3,False,Ternary
52812,25540.cif,NaSbO3,Na+16 Sb5+16 O2-48,80,success,,,293.0,0.101325,FD3-MZ,True,4.0,227.0,227.0,Fd-3m,False,Ternary
129145,78011.cif,NaSbO3,Na+6 Sb5+6 O2-18,30,success,0.025,Q,293.0,0.101325,R3-H,True,4.0,,148.0,R-3,False,Ternary
150596,98978.cif,NaSbO3,Na+4 Sb5+4 O2-12,20,success,0.0754,Q,293.0,0.101325,PNMA,True,4.0,62.0,62.0,Pnma,False,Ternary
35942,174081.cif,NaSi,Na+16 Si-16,32,success,0.0921,,293.0,12000.0,C12/C1,True,4.0,15.0,15.0,C2/c,False,Rocksalt/Zincblende/CsCl
70337,409953.cif,NaSi,Na+16 Si-16,32,success,0.028,Q,293.0,0.101325,C12/C1,True,4.0,15.0,15.0,C2/c,False,Rocksalt/Zincblende/CsCl
81456,43276.cif,NaSi,Na0+16 Si0+16,32,success,0.07,,,,C12/C1,True,4.0,15.0,15.0,C2/c,False,Rocksalt/Zincblende/CsCl
123735,72215.cif,NaSn2(PO4)3,Na+6 Sn4+12 P5+18 O2-72,108,success,0.034,,299.0,0.101325,R3-H,True,4.0,,148.0,R-3,False,Quaternary
