mp_id,oxidation_states,entry_type
mp-1013716,"{'Ba': 2.0, 'Bi': -3.0, 'As': -3.0}",GGA
mp-1013726,"{'Cd': 2.0, 'S': -2.0, 'F': -1.0}",GGA
mp-1013733,"{'Ca': 2.0, 'Bi': -3.0, 'Sb': -3.0}",GGA
mp-1013734,"{'Ba': 2.0, 'As': -3.0, 'N': -3.0}",GGA
mp-1013737,"{'Ba': 2.0, 'Sb': -3.0, 'P': -3.0}",GGA
mp-1013738,"{'Ca': 2.0, 'Sb': -3.0, 'As': -3.0}",GGA
mp-1013750,"{'Sn': 2.0, 'S': -2.0, 'F': -1.0}",GGA
mp-1014,{},GGA
mp-1014168,"{'Cs': 1.0, 'Pb': 2.0, 'Br': -1.0}",GGA
mp-1014214,"{'C': 1.0, 'N': -3.0}",GGA
mp-1014261,"{'Ir': 4.0, 'O': -2.0}",GGA
mp-1014264,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-1014281,"{'C': 1.0, 'N': -3.0}",GGA
mp-1014286,"{'C': 1.0, 'N': -3.0}",GGA
mp-1014287,"{'C': 1.0, 'N': -3.0}",GGA
mp-1014296,"{'C': 1.0, 'N': -3.0}",GGA
mp-1014297,"{'C': 1.0, 'N': -3.0}",GGA
mp-10143,"{'Ti': 3.0, 'B': -3.0}",GGA
mp-1014307,"{'Zr': 4.0, 'C': -4.0}",GGA
mp-1014311,"{'C': 1.0, 'N': -3.0}",GGA
mp-1014324,"{'C': 1.0, 'N': -3.0}",GGA
mp-1014333,"{'C': 1.0, 'N': -3.0}",GGA
mp-1014342,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-1014345,"{'Cr': 4.0, 'N': -3.0}",GGA
mp-1014347,"{'Cr': 4.0, 'N': -3.0}",GGA
mp-1014366,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-1014373,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-1014379,"{'Cr': 4.0, 'N': -3.0}",GGA
mp-10144,"{'B': -3.0, 'W': 6.0}",GGA
mp-1014444,"{'Cr': 2.0, 'N': -3.0}",GGA
mp-1014454,"{'Cr': 2.0, 'N': -3.0}",GGA
mp-1014460,"{'Cr': 4.0, 'N': -3.0}",GGA
mp-1014478,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-1014509,"{'Cr': 2.0, 'N': -3.0}",GGA
mp-1014558,"{'Cr': 4.0, 'N': -3.0}",GGA
mp-10148,"{'In': 1.0, 'Sb': -1.0}",GGA
mp-10149,"{'In': 3.0, 'Sb': -3.0}",GGA
mp-1014910,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-1014993,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-1015,{},GGA
mp-1015061,{},GGA
mp-1015076,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-10152,"{'La': 2.0, 'Si': -4.0, 'Ir': 3.0}",GGA
mp-1015567,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-1015582,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-1015612,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-10159,"{'K': 1.0, 'Sb': -3.0}",GGA
mp-1016058,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-1016063,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-1016070,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-1016076,"{'Cr': 6.0, 'N': -3.0}",GGA
mp-1016119,"{'Na': 1.0, 'Mn': 3.0, 'O': -2.0}",GGA+U
mp-1016120,"{'K': 1.0, 'Mn': 3.0, 'O': -2.0}",GGA+U
mp-1016152,"{'Na': 1.0, 'Mn': 3.0, 'O': -2.0}",GGA+U
mp-1016154,"{'Mg': 2.0, 'Mn': 2.0, 'O': -2.0}",GGA+U
mp-1016475,{},GGA
mp-1016572,{},GGA
mp-1016576,{},GGA
mp-1016601,{},GGA
mp-1016630,{},GGA
mp-1016647,{},GGA
